name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
RF1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF16	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RF17	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
RF18	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
RO1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RO15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
RAS1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RAS15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
RIF1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RIF10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
RMF1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
RMF7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RMF8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RY1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RY7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RY8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RY13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RY14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RY15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RCM1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
RCM15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	2
RK1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	2
