name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LA1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LA15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
LB1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LB14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
LB15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	bad	n/a	1
LC1	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC2	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC3	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC4	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC5	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC6	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC7	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC8	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC9	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC10	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC11	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC12	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC13	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC14	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
LC15	SEEG	µV	2130	n/a	intracranial	n/a	4800	n/a	good	n/a	1
